DD  MM YY HH MM SS NS Lat     EW       Lon  K1     K2     K3     K4     K5     K6     K7     K8     K9    K10    K11    K12    K13    K14    K15    K16    K17   Pres    Tpr    Hum    Thm   Tbrd  Ubat
29  7 10   2 40 49 N  4311907 E 13155488   7974   9875   5237   7944  12637   8799   8572  11880  10322   8816   9948   7154   7147   6995  10157   9754   7006      6      5      4      3      2  3.0
29  7 10   2 41 50 N  4311907 E 13155488   8176  10128   5364   8146  12953   8990   8770  12166  10572   9015  10174   7372   7312   7163  10389   9979   7165      6      5      4      3      2  3.0
29  7 10   2 42 51 N  4311907 E 13155488   8211  10171   5380   8169  13004   9020   8816  12204  10610   9054  10230   7421   7360   7202  10429  10015   7200      6      5      4      3      2  3.0
29  7 10   2 43 52 N  4311907 E 13155488   8154  10099   5335   8107  12939   8960   8774  12132  10547   8990  10149   7342   7301   7145  10343   9939   7145      6      5      4      3      2  3.0
29  7 10   2 44 53 N  4311907 E 13155488   8234  10204   5386   8186  13048   9015   8827  12212  10611   9054  10213   7381   7345   7195  10426  10021   7196      6      5      4      3      2  3.0
29  7 10   2 45 54 N  4311907 E 13155488   8239  10211   5389   8186  13037   9038   8848  12257  10639   9089  10258   7400   7373   7210  10440  10036   7211      6      5      4      3      2  3.0
29  7 10   2 46 55 N  4311907 E 13155488   8169  10113   5351   8118  12902   8966   8753  12154  10555   9019  10170   7327   7315   7159  10383   9960   7153      6      5      4      3      2  3.0
29  7 10   2 47 56 N  4311907 E 13155488   8135  10071   5315   8078  12895   8920   8737  12077  10491   8957  10112   7268   7279   7124  10303   9916   7122      6      5      4      3      2  3.0
29  7 10   2 48 57 N  4311907 E 13155488   8240  10207   5397   8191  13048   9051   8845  12244  10639   9087  10246   7366   7376   7219  10453  10046   7218      6      5      4      3      2  3.0
29  7 10   2 49 58 N  4311907 E 13155488   8240  10214   5378   8170  13038   9011   8844  12230  10614   9073  10223   7312   7366   7194  10406  10012   7201      6      5      4      3      2  3.0
29  7 10   2 50 59 N  4311907 E 13155488   8178  10153   5347   8133  12946   8933   8763  12138  10544   8988  10126   7285   7285   7132  10332   9938   7139      6      5      4      3      2  3.0
29  7 10   2 52  0 N  4311907 E 13155488   8287  10290   5413   8240  13111   9049   8871  12310  10682   9104  10263   7384   7384   7224  10462  10068   7229      6      5      4      3      2  3.0
29  7 10   2 53  1 N  4311907 E 13155488   8135  10090   5319   8078  12831   8890   8691  12064  10457   8930  10064   7217   7242   7085  10274   9874   7091      6      5      4      3      2  3.0
29  7 10   2 54  2 N  4311907 E 13155488   8183  10152   5347   8122  12909   8927   8751  12141  10508   8992  10144   7297   7297   7141  10340   9935   7136      6      5      4      3      2  3.0
29  7 10   2 55  3 N  4311907 E 13155488   8153  10106   5343   8100  12823   8920   8693  12111  10482   8976  10103   7285   7252   7101  10308   9893   7106      6      5      4      3      2  3.0
29  7 10   2 56  4 N  4311907 E 13155488   8129  10076   5312   8071  12836   8883   8701  12061  10454   8940  10066   7227   7238   7084  10272   9867   7086      6      5      4      3      2  3.0
29  7 10   2 57  5 N  4311907 E 13155488   8151  10099   5317   8091  12897   8904   8740  12064  10443   8935  10082   7258   7253   7101  10280   9894   7105      6      5      4      3      2  3.0
29  7 10   2 58  6 N  4311907 E 13155488   8178  10097   5336   8092  12867   8948   8738  12102  10462   8974  10120   7289   7272   7118  10315   9917   7125      6      5      4      3      2  3.0
29  7 10   2 59  7 N  4311907 E 13155488   8198  10147   5340   8117  12974   8958   8798  12130  10506   8984  10141   7291   7300   7146  10333   9946   7148      6      5      4      3      2  3.0
29  7 10   3  0  8 N  4311907 E 13155488   8159  10118   5312   8089  12913   8875   8727  12070  10475   8928  10066   7241   7246   7095  10266   9881   7096      6      5      4      3      2  3.0
29  7 10   3  1  9 N  4311907 E 13155488   8214  10154   5370   8146  12929   8978   8764  12159  10544   9025  10176   7293   7317   7161  10384   9976   7166      6      5      4      3      2  3.0
29  7 10   3  2 10 N  4311907 E 13155488   8182  10126   5331   8102  12906   8925   8738  12107  10485   8970  10116   7262   7275   7120  10312   9917   7129      6      5      4      3      2  3.0
29  7 10   3  3 11 N  4311907 E 13155488   8249  10220   5366   8163  13016   8966   8799  12183  10571   9010  10162   7323   7312   7156  10367   9972   7159      6      5      4      3      2  3.0
29  7 10   3  4 12 N  4311907 E 13155488   8338  10323   5420   8240  13144   9058   8894  12304  10668   9111  10266   7397   7388   7237  10469  10078   7235      6      5      4      3      2  3.0
29  7 10   3  5 13 N  4311907 E 13155488   8366  10369   5473   8313  13138   9112   8887  12385  10749   9169  10319   7484   7417   7262  10553  10115   7262      6      5      4      3      2  3.0
29  7 10   3  6 14 N  4311907 E 13155488   8407  10436   5467   8323  13202   9077   8924  12407  10756   9167  10304   7509   7414   7266  10519  10116   7264      6      5      4      3      2  3.0
29  7 10   3  7 15 N  4311907 E 13155488   8126  10071   5305   8045  12702   8807   8608  12003  10384   8885   9982   7262   7170   7022  10214   9807   7034      6      5      4      3      2  3.0
29  7 10   3  8 16 N  4311907 E 13155488   8452  10490   5507   8369  13220   9129   8954  12473  10802   9220  10355   7550   7446   7296  10585  10165   7299      6      5      4      3      2  3.0
29  7 10   3  9 17 N  4311907 E 13155488   8490  10521   5531   8398  13253   9176   8988  12512  10813   9255  10399   7543   7483   7332  10647  10222   7336      6      5      4      3      2  3.0
29  7 10   3 10 18 N  4311907 E 13155488   8338  10352   5433   8257  13064   9013   8848  12312  10653   9100  10215   7425   7341   7196  10450  10041   7200      6      5      4      3      2  3.0
29  7 10   3 11 19 N  4311907 E 13155488   8295  10276   5401   8204  12963   8964   8785  12250  10584   9046  10160   7400   7302   7148  10382   9972   7158      6      5      4      3      2  3.0
29  7 10   3 12 20 N  4311907 E 13155488   8284  10278   5399   8207  12988   8967   8782  12217  10565   9027  10156   7366   7308   7155  10372   9972   7160      6      5      4      3      2  3.0
29  7 10   3 13 21 N  4311907 E 13155488   8243  10217   5373   8152  12875   8916   8719  12164  10517   8992  10105   7351   7259   7110  10327   9919   7123      6      5      4      3      2  3.0
29  7 10   3 14 22 N  4311907 E 13155488   8322  10329   5423   8240  12995   8985   8790  12287  10606   9068  10180   7464   7326   7179  10438  10016   7184      6      5      4      3      2  3.0
29  7 10   3 15 23 N  4311907 E 13155488   8498  10575   5524   8406  13322   9128   8993  12512  10816   9214  10344   7590   7442   7291  10566  10174   7299      6      5      4      3      2  3.0
29  7 10   3 16 24 N  4311907 E 13155488   8237  10228   5358   8153  12892   8873   8702  12159  10513   8962  10062   7349   7234   7088  10288   9892   7095      6      5      4      3      2  3.0
29  7 10   3 17 25 N  4311907 E 13155488   8306  10305   5410   8224  12985   8968   8771  12265  10628   9065  10173   7411   7312   7166  10418  10002   7174      6      5      4      3      2  3.0
29  7 10   3 18 26 N  4311907 E 13155488   8260  10253   5370   8160  12888   8884   8706  12160  10510   8988  10092   7351   7258   7107  10321   9922   7114      6      5      4      3      2  3.0
29  7 10   3 19 27 N  4311907 E 13155488   8384  10408   5457   8295  13077   9025   8824  12357  10696   9120  10239   7455   7353   7206  10476  10058   7214      6      5      4      3      2  3.0
29  7 10   3 20 28 N  4311907 E 13155488   8264  10264   5392   8194  12867   8894   8675  12191  10538   8988  10086   7350   7252   7099  10355   9931   7118      6      5      4      3      2  3.0
29  7 10   3 21 29 N  4311907 E 13155488   8383  10393   5468   8299  13053   9055   8820  12370  10705   9151  10275   7448   7387   7231  10521  10088   7240      6      5      4      3      2  3.0
29  7 10   3 22 30 N  4311907 E 13155488   8298  10306   5399   8218  12972   8929   8742  12228  10577   9020  10127   7347   7273   7125  10365   9943   7136      6      5      4      3      2  3.0
29  7 10   3 23 31 N  4311907 E 13155488   8309  10325   5414   8232  12972   8948   8758  12253  10593   9048  10162   7387   7300   7149  10391   9975   7162      6      5      4      3      2  3.0
29  7 10   3 24 32 N  4311907 E 13155488   8490  10538   5524   8401  13259   9143   8955  12526  10817   9240  10370   7541   7467   7307  10611  10191   7311      6      5      4      3      2  3.0
29  7 10   3 25 33 N  4311907 E 13155488   8367  10381   5443   8270  13060   9004   8810  12316  10656   9103  10227   7438   7357   7205  10469  10050   7206      6      5      4      3      2  3.0
29  7 10   3 26 34 N  4311907 E 13155488   8456  10497   5502   8364  13205   9093   8918  12453  10765   9196  10325   7501   7423   7272  10569  10150   7289      6      5      4      3      2  3.0
29  7 10   3 27 35 N  4311907 E 13155488   8518  10567   5558   8430  13232   9174   8951  12572  10850   9284  10410   7605   7482   7329  10678  10232   7339      6      5      4      3      2  3.0
29  7 10   3 28 36 N  4311907 E 13155488   8414  10446   5480   8323  13100   9052   8861  12414  10708   9167  10288   7503   7387   7237  10512  10103   7253      6      5      4      3      2  3.0
29  7 10   3 29 37 N  4311907 E 13155488   8448  10486   5489   8347  13230   9108   8946  12453  10755   9195  10333   7490   7432   7282  10551  10153   7292      6      5      4      3      2  3.0
29  7 10   3 30 38 N  4311907 E 13155488   8440  10476   5482   8342  13170   9069   8910  12455  10738   9185  10304   7509   7416   7264  10536  10126   7271      6      5      4      3      2  3.0
29  7 10   3 31 39 N  4311907 E 13155488   8411  10433   5474   8310  13093   9042   8858  12405  10691   9164  10270   7454   7383   7232  10507  10078   7236      6      5      4      3      2  3.0
29  7 10   3 32 40 N  4311907 E 13155488   8223  10203   5342   8124  12825   8838   8656  12114  10467   8939  10027   7283   7210   7063  10274   9865   7079      6      5      4      3      2  3.0
29  7 10   3 33 41 N  4311907 E 13155488   8184  10155   5324   8096  12764   8804   8628  12075  10412   8906   9993   7252   7176   7032  10225   9823   7046      6      5      4      3      2  3.0
29  7 10   3 34 42 N  4311907 E 13155488   8308  10326   5391   8217  12992   8897   8755  12246  10575   9025  10113   7384   7277   7119  10334   9939   7126      6      5      4      3      2  3.0
29  7 10   3 35 43 N  4311907 E 13155488   8333  10348   5421   8249  12984   8946   8757  12286  10610   9061  10148   7414   7298   7151  10419   9990   7166      6      5      4      3      2  3.0
29  7 10   3 36 44 N  4311907 E 13155488   8398  10435   5456   8300  13086   8993   8829  12368  10693   9117  10220   7473   7345   7198  10474  10058   7211      6      5      4      3      2  3.0
29  7 10   3 37 45 N  4311907 E 13155488   8362  10380   5443   8275  13028   8973   8781  12320  10657   9095  10191   7393   7333   7177  10445  10033   7192      6      5      4      3      2  3.0
29  7 10   3 38 46 N  4311907 E 13155488   8254  10246   5375   8178  12897   8885   8702  12178  10519   8983  10079   7327   7247   7097  10315   9911   7108      6      5      4      3      2  3.0
29  7 10   3 39 47 N  4311907 E 13155488   8279  10270   5384   8195  12976   8934   8761  12242  10579   9028  10138   7348   7285   7135  10365   9969   7150      6      5      4      3      2  3.0
29  7 10   3 40 48 N  4311907 E 13155488   8317  10325   5418   8245  12984   8951   8747  12275  10610   9052  10155   7392   7301   7158  10409   9994   7162      6      5      4      3      2  3.0
29  7 10   3 41 49 N  4311907 E 13155488   8243  10237   5367   8172  12871   8865   8685  12169  10531   8981  10073   7338   7247   7095  10318   9899   7097      6      5      4      3      2  3.0
29  7 10   3 42 50 N  4311907 E 13155488   8277  10293   5381   8194  12931   8870   8706  12205  10542   8993  10086   7377   7249   7106  10330   9928   7120      6      5      4      3      2  3.0
29  7 10   3 43 51 N  4311907 E 13155488   8364  10396   5459   8297  13041   9001   8795  12362  10689   9127  10220   7499   7339   7188  10476  10051   7205      6      5      4      3      2  3.0
29  7 10   3 44 52 N  4311907 E 13155488   8306  10334   5405   8235  13016   8917   8769  12260  10596   9045  10139   7410   7292   7150  10384   9979   7151      6      5      4      3      2  3.0
29  7 10   3 45 53 N  4311907 E 13155488   8291  10302   5404   8219  12945   8917   8737  12262  10592   9045  10128   7412   7273   7131  10376   9961   7143      6      5      4      3      2  3.0
29  7 10   3 46 54 N  4311907 E 13155488   8466  10515   5518   8395  13225   9103   8933  12510  10796   9235  10338   7587   7446   7292  10600  10175   7305      6      5      4      3      2  3.0
29  7 10   3 47 55 N  4311907 E 13155488   8324  10345   5421   8249  13016   8945   8793  12295  10604   9076  10164   7461   7316   7173  10424  10010   7172      6      5      4      3      2  3.0
29  7 10   3 48 56 N  4311907 E 13155488   8290  10298   5413   8228  12959   8947   8760  12283  10596   9072  10164   7425   7300   7147  10400   9978   7150      6      5      4      3      2  3.0
29  7 10   3 49 57 N  4311907 E 13155488   8335  10352   5430   8256  13061   8972   8821  12310  10619   9088  10187   7457   7320   7174  10442  10020   7187      6      5      4      3      2  3.0
29  7 10   4  7 23 N        0 E        0    155     98    102     97    599    333    385    347    206     95    219    171    173    112     97     78     63      6      5      4      3      2  2.9
29  7 10   4  8 24 N        0 E        0      5     18     39     18     27      0     27      8      7      0      0      0      0      0      1      0      0      6      5      4      3      2  3.0
29  7 10   4  9 25 N        0 E        0      8     18     38     19     27      0     26      8      7      0      0      0      1      0      1      0      0      6      5      4      3      2  3.0
29  7 10   4 10 26 N        0 E        0     11     17     37     18     27      0     26      8      7      0      0      1      1      0      1      0      0      6      5      4      3      2  3.0
29  7 10   4 11 27 N        0 E        0     12     18     38     18     28      0     27      8      7      0      0      1      1      0      2      0      0      6      5      4      3      2  3.0
29  7 10   4 12 28 N        0 E        0     13     19     37     18     28      0     28      8      7      0      0      1      1      0      1      0      0      6      5      4      3      2  3.0
29  7 10   4 25 23 N        0 E        0   8116  10094   5286   8210  13343   9023   8817  12243  11069   9021  10239   7379   7378   7212  10529  10057   7217      6      5      4      3      2  2.9
29  7 10   4 26 24 N        0 E        0   8145  10128   5292   8235  13416   9044   8862  12288  11094   9039  10265   7396   7400   7231  10570  10096   7252      6      5      4      3      2  3.0
29  7 10   4 27 25 N        0 E        0   8048  10024   5229   8142  13287   8933   8789  12152  10963   8943  10147   7315   7309   7150  10436   9974   7162      6      5      4      3      2  3.0
29  7 10   4 28 26 N        0 E        0   8082  10056   5254   8179  13329   8991   8803  12200  11027   8989  10208   7335   7356   7189  10502  10047   7203      6      5      4      3      2  3.0
29  7 10   4 29 27 N        0 E        0   8109  10090   5280   8217  13415   9042   8856  12268  11075   9031  10262   7379   7394   7238  10556  10087   7236      6      5      4      3      2  3.0
29  7 10   4 30 29 N        0 E        0   8164  10176   5311   8272  13485   9091   8920  12348  11157   9094  10320   7445   7440   7280  10609  10142   7273      6      5      4      3      2  3.0
29  7 10   4 31 29 N        0 E        0   8163  10178   5302   8274  13494   9064   8918  12329  11133   9076  10304   7434   7427   7263  10600  10136   7270      6      5      4      3      2  3.0
29  7 10   4 32 31 N        0 E        0   8147  10146   5308   8255  13436   9074   8895  12335  11149   9086  10308   7430   7432   7269  10601  10143   7263      6      5      4      3      2  3.0
29  7 10   4 33 31 N        0 E        0   8191  10198   5320   8294  13554   9116   8966  12391  11188   9116  10357   7472   7460   7301  10640  10181   7308      6      5      4      3      2  3.0
29  7 10   4 34 32 N        0 E        0   8106  10107   5270   8214  13448   9032   8889  12264  11080   9030  10254   7364   7394   7233  10534  10092   7235      6      5      4      3      2  3.0
29  7 10   4 38 30 N        0 E        0   8076  10047   5254   8205  13512   9075   8934  12267  11076   9046  10302   7296   7427   7255  10581  10146   7278      6      5      4      3      2  2.9
29  7 10   4 39 31 N        0 E        0   8060  10019   5231   8170  13482   9054   8908  12239  11059   9025  10277   7270   7413   7248  10553  10107   7263      6      5      4      3      2  3.0
29  7 10   4 40 32 N        0 E        0   7787   9684   5080   7925  13054   8793   8619  11865  10733   8763   9979   7036   7195   7033  10243   9811   7035      6      5      4      3      2  3.0
